uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1249246,Aladag,TR01-districts,Adana,Aladağ,6996,3900
relation_1249250,Ceyhan,TR01-districts,Adana,Ceyhan,44646,49595
relation_1249253,Cukurova,TR01-districts,Adana,Çukurova,82626,166526
relation_1249248,Feke,TR01-districts,Adana,Feke,7322,3306
relation_1249260,Imamoglu,TR01-districts,Adana,İmamoğlu,11732,5638
relation_1249251,Karaisali,TR01-districts,Adana,Karaisalı,11421,3984
relation_1249254,Karatas,TR01-districts,Adana,Karataş,5634,9223
relation_1249252,Kozan,TR01-districts,Adana,Kozan,51661,29628
relation_1249256,Pozanti,TR01-districts,Adana,Pozantı,8095,4959
relation_1249249,Saimbeyli,TR01-districts,Adana,Saimbeyli,6684,1910
relation_1249247,Saricam,TR01-districts,Adana,Sarıçam,74916,50340
relation_1249257,Seyhan,TR01-districts,Adana,Seyhan,184122,282618
relation_1249258,Tufanbeyli,TR01-districts,Adana,Tufanbeyli,6998,3868
relation_1249259,Yumurtalik,TR01-districts,Adana,Yumurtalık,6499,5462
relation_1249255,Yuregir,TR01-districts,Adana,Yüreğir,111651,109317
relation_1825239,Besni,TR02-districts,Adıyaman,Besni,25866,13830
relation_1825796,Celikhan,TR02-districts,Adıyaman,Çelikhan,5692,3266
relation_1807479,Gerger,TR02-districts,Adıyaman,Gerger,7013,1037
relation_1389197,Golbasi,TR02-districts,Adıyaman,Gölbaşı,16446,9846
relation_1825793,Kahta,TR02-districts,Adıyaman,Kahta,55893,12743
relation_1825792,Adiyaman merkez,TR02-districts,Adıyaman,Merkez,88904,54532
relation_1825794,Samsat,TR02-districts,Adıyaman,Samsat,3577,395
relation_1825795,Sincik,TR02-districts,Adıyaman,Sincik,9353,534
relation_1825241,Tut,TR02-districts,Adıyaman,Tut,3747,1799
relation_1263748,Basmakci,TR03-districts,Afyonkarahisar,Başmakçı,4023,2529
relation_1263745,Bayat,TR03-districts,Afyonkarahisar,Bayat,3292,1520
relation_1263749,Bolvadin,TR03-districts,Afyonkarahisar,Bolvadin,20466,6670
relation_1263743,Cay,TR03-districts,Afyonkarahisar,Çay,12059,7472
relation_1263747,Cobanlar,TR03-districts,Afyonkarahisar,Çobanlar,5855,2582
relation_1263751,Dazkiri,TR03-districts,Afyonkarahisar,Dazkırı,4899,2910
relation_1263741,Dinar,TR03-districts,Afyonkarahisar,Dinar,17721,11924
relation_1263757,Emirdag,TR03-districts,Afyonkarahisar,Emirdağ,13786,8174
relation_1263746,Evciler,TR03-districts,Afyonkarahisar,Evciler,2920,1949
relation_1263744,Hocalar,TR03-districts,Afyonkarahisar,Hocalar,4655,1212
relation_1263742,Ihsaniye,TR03-districts,Afyonkarahisar,İhsaniye,14599,3521
relation_1263752,Iscehisar,TR03-districts,Afyonkarahisar,İscehisar,12633,3261
relation_1824754,Kiziloren,TR03-districts,Afyonkarahisar,Kızılören,937,580
relation_1263753,Afyonkarahisar merkez,TR03-districts,Afyonkarahisar,Merkez,129720,63843
relation_1263755,Sandikli,TR03-districts,Afyonkarahisar,Sandıklı,24520,10247
relation_1263756,Sinanpasa,TR03-districts,Afyonkarahisar,Sinanpaşa,19235,6294
relation_1263754,Suhut,TR03-districts,Afyonkarahisar,Şuhut,17410,6855
relation_1263750,Sultandagi,TR03-districts,Afyonkarahisar,Sultandağı,3722,6593
relation_1837705,Diyadin,TR04-districts,Ağrı,Diyadin,3505,10122
relation_1837706,Dogubayazit,TR04-districts,Ağrı,Doğubayazıt,8357,38590
relation_1780207,Eleskirt,TR04-districts,Ağrı,Eleşkirt,7777,4676
relation_1837707,Hamur,TR04-districts,Ağrı,Hamur,2456,3331
relation_1837704,Agri merkez,TR04-districts,Ağrı,Merkez,29163,33626
relation_1780615,Patnos,TR04-districts,Ağrı,Patnos,10510,27585
relation_1837708,Taslicay,TR04-districts,Ağrı,Taşlıçay,2397,5292
relation_1780622,Tutak,TR04-districts,Ağrı,Tutak,4625,6471
relation_1717634,Agacoren,TR68-districts,Aksaray,Ağaçören,4027,872
relation_1714007,Eskil,TR68-districts,Aksaray,Eskil,13407,3264
relation_1717635,Gulagac,TR68-districts,Aksaray,Gülağaç,7474,3133
relation_1717636,Guzelyurt,TR68-districts,Aksaray,Güzelyurt,5037,1568
relation_1717633,Aksaray merkez,TR68-districts,Aksaray,Merkez,134052,45024
relation_1246396,Ortakoy,TR68-districts,Aksaray,Ortaköy,14647,4061
relation_1713915,Sariyahsi,TR68-districts,Aksaray,Sarıyahşi,1834,710
relation_8100757,Sultanhani,TR68-districts,Aksaray,Sultanhanı,5147,1979
relation_1837142,Goynucek,TR05-districts,Amasya,Göynücek,4877,2262
relation_1724394,Gumushacikoy,TR05-districts,Amasya,Gümüşhacıköy,7255,9374
relation_1724395,Hamamozu,TR05-districts,Amasya,Hamamözü,1790,848
relation_1837141,Amasya merkez,TR05-districts,Amasya,Merkez,55256,39875
relation_1837143,Merzifon,TR05-districts,Amasya,Merzifon,26842,25005
relation_1837144,Suluova,TR05-districts,Amasya,Suluova,23830,8189
relation_1837145,Tasova,TR05-districts,Amasya,Taşova,14578,7258
relation_1667099,Akyurt,TR06-districts,Ankara,Akyurt,20301,6296
relation_1812317,Altindag,TR06-districts,Ankara,Altındağ,158521,92279
relation_1710801,Ayas,TR06-districts,Ankara,Ayaş,5262,3672
relation_1809594,Bala,TR06-districts,Ankara,Bala,8933,4725
relation_1738278,Beypazari,TR06-districts,Ankara,Beypazarı,19554,12532
relation_1811108,Camlidere,TR06-districts,Ankara,Çamlıdere,5094,1232
relation_1812321,Cankaya,TR06-districts,Ankara,Çankaya,139421,498771
relation_1667201,Cubuk,TR06-districts,Ankara,Çubuk,45514,14974
relation_1809674,Elmadag,TR06-districts,Ankara,Elmadağ,15493,14935
relation_1812354,Etimesgut,TR06-districts,Ankara,Etimesgut,175769,230342
relation_1713914,Evren,TR06-districts,Ankara,Evren,1282,666
relation_1809464,Golbasi,TR06-districts,Ankara,Gölbaşı,46811,45958
relation_1739269,Gudul,TR06-districts,Ankara,Güdül,4204,1920
relation_1810229,Haymana,TR06-districts,Ankara,Haymana,10914,5473
relation_1812355,Kahramankazan,TR06-districts,Ankara,Kahramankazan,24996,12157
relation_1811252,Kalecik,TR06-districts,Ankara,Kalecik,6193,2870
relation_1811393,Kecioren,TR06-districts,Ankara,Keçiören,332145,263761
relation_1811128,Kizilcahamam,TR06-districts,Ankara,Kızılcahamam,13970,5669
relation_1812319,Mamak,TR06-districts,Ankara,Mamak,216247,218254
relation_1738279,Nallihan,TR06-districts,Ankara,Nallıhan,10891,7791
relation_1799855,Polatli,TR06-districts,Ankara,Polatlı,43667,35329
relation_1811454,Pursaklar,TR06-districts,Ankara,Pursaklar,74551,26287
relation_1713916,Sereflikochisar,TR06-districts,Ankara,Şereflikoçhisar,11811,8127
relation_1811046,Sincan,TR06-districts,Ankara,Sincan,230875,124588
relation_1812356,Yenimahalle,TR06-districts,Ankara,Yenimahalle,195377,271141
relation_1726997,Akseki,TR07-districts,Antalya,Akseki,4423,3079
relation_1727534,Aksu,TR07-districts,Antalya,Aksu,23020,24114
relation_1726977,Alanya,TR07-districts,Antalya,Alanya,90474,100811
relation_1727262,Demre,TR07-districts,Antalya,Demre,9477,9235
relation_1727454,Dosemealti,TR07-districts,Antalya,Döşemealtı,23567,25905
relation_1727263,Elmali,TR07-districts,Antalya,Elmalı,14612,12542
relation_1727264,Finike,TR07-districts,Antalya,Finike,16197,16174
relation_1443174,Gazipasa,TR07-districts,Antalya,Gazipaşa,15877,20301
relation_1726981,Gundogmus,TR07-districts,Antalya,Gündoğmuş,2880,2217
