mode,state,ratioD,ratioR,pollD,pollR,pollSigma,gbD,gbR
senate,AK,0.868,1.0938,42,50,3,47.5,49.5
senate,AL,0.7062,1.2899,30,68,3,47.5,49.5
senate,AR,0.6957,1.2871,33,65,3,47.5,49.5
senate,AZ,0.9698,1.0472,51.4,46.5,2,47.5,49.5
senate,CA,1.2014,0.7797,61,36,3,47.5,49.5
senate,CO,1.1376,0.8556,56,42,2,47.5,49.5
senate,CT,1.1694,0.8386,57,41,3,47.5,49.5
senate,FL,0.8734,1.1317,43.2,57.7,2,47.5,49.5
senate,GA,1.0101,1.0035,51.4,48.6,2,47.5,49.5
senate,HI,1.2508,0.7825,71,27,3,47.5,49.5
senate,ID,0.6306,1.3452,36,62,3,47.5,49.5
senate,IL,1.1234,0.8756,56,42,2,47.5,49.5
senate,IN,0.8076,1.1881,36,59,3,47.5,49.5
senate,IA,0.8786,1.1203,42,55,3,47.5,49.5
senate,KS,0.865,1.1339,40,57,3,47.5,49.5
senate,KY,0.7031,1.2866,38,60,3,47.5,49.5
senate,LA,0.7914,1.2008,37,61,3,47.5,49.5
senate,MD,1.2998,0.6774,65,33,3,47.5,49.5
senate,MO,0.8174,1.1909,44,54,3,47.5,49.5
senate,NV,0.9815,1.0178,48.8,49.2,2,47.5,49.5
senate,NH,1.0558,0.9558,54,44,2,47.5,49.5
senate,NY,1.1567,0.9026,55,43,3,47.5,49.5
senate,NC,0.9863,1.0159,47.3,50.5,2,47.5,49.5
senate,ND,0.6015,1.3621,29,69,3,47.5,49.5
senate,OH,0.9079,1.1075,46.4,53.3,2,47.5,49.5
senate,OK,0.6675,1.3109,32,64,3,47.5,49.5
senate,OR,1.1575,0.8224,55,40,2,47.5,49.5
senate,PA,1.0069,1.0078,51.2,46.3,2,47.5,49.5
senate,SC,0.8343,1.1673,42,56,3,47.5,49.5
senate,SD,0.7107,1.2705,34,64,3,47.5,49.5
senate,UT,0.6696,1.3023,34,54,3,47.5,49.5
senate,VT,1.3406,0.65,69,28,3,47.5,49.5
senate,WA,1.1759,0.8328,57,43,2,47.5,49.5
senate,WI,1.0092,0.9959,51.4,49.0,2,47.5,49.5
governor,AK,0.868,1.0938,45,50,3,47.5,49.5
governor,AL,0.7062,1.2899,32,67,3,47.5,49.5
governor,AR,0.6957,1.2871,34,63,3,47.5,49.5
governor,AZ,0.9698,1.0472,50.3,49.7,2,47.5,49.5
governor,CA,1.2014,0.7797,59,41,3,47.5,49.5
governor,CO,1.1376,0.8556,58,40,2,47.5,49.5
governor,CT,1.1694,0.8386,56,44,2,47.5,49.5
governor,FL,0.8734,1.1317,40,59.4,2,47.5,49.5
governor,GA,1.0101,1.0035,46,53,2,47.5,49.5
governor,HI,1.2508,0.7825,63,34,3,47.5,49.5
governor,ID,0.6306,1.3452,30,60,3,47.5,49.5
governor,IL,1.1234,0.8756,55,43,2,47.5,49.5
governor,IA,0.8786,1.1203,42,58,2,47.5,49.5
governor,KS,0.865,1.1339,49,47.5,2,47.5,49.5
governor,ME,1.0989,0.9122,55,42,2,47.5,49.5
governor,MD,1.2998,0.6774,63,35,3,47.5,49.5
governor,MA,1.2695,0.7218,64,34,3,47.5,49.5
governor,MI,0.9996,0.9983,54.5,43.8,2,47.5,49.5
governor,MN,1.0644,0.9338,52.3,44.6,2,47.5,49.5
governor,NE,0.8172,1.1798,43,54,3,47.5,49.5
governor,NV,0.9815,1.0178,48.5,48.8,2,47.5,49.5
governor,NH,1.0558,0.9558,42,57,2,47.5,49.5
governor,NM,1.0798,0.9235,52,46,2,47.5,49.5
governor,NY,1.1567,0.9026,53,47,2,47.5,49.5
governor,OH,0.9079,1.1075,37,62,2,47.5,49.5
governor,OK,0.6675,1.3109,32,55,3,47.5,49.5
governor,OR,1.1575,0.8224,47,44,2,47.5,49.5
governor,PA,1.0069,1.0078,56.5,42,2,47.5,49.5
governor,RI,1.1495,0.8386,58,38,3,47.5,49.5
governor,SC,0.8343,1.1673,42,58,3,47.5,49.5
governor,SD,0.7107,1.2705,32,62,3,47.5,49.5
governor,TN,0.7137,1.2842,32,65,3,47.5,49.5
governor,TX,0.8789,1.1257,43.8,54.8,2,47.5,49.5
governor,VT,1.3406,0.65,41,69,3,47.5,49.5
governor,WI,1.0092,0.9959,51.2,48,2,47.5,49.5
governor,WY,0.5452,1.4375,16,74,3,47.5,49.5
