State,2000_Poll_Margin,2000_Actual_Margin,2000_Error,2004_Poll_Margin,2004_Actual_Margin,2004_Error,2008_Poll_Margin,2008_Actual_Margin,2008_Error,2012_Poll_Margin,2012_Actual_Margin,2012_Error,2016_Poll_Margin,2016_Actual_Margin,2016_Error,2020_Poll_Margin,2020_Actual_Margin,2020_Error,2024_Poll_Margin,2024_Actual_Margin,2024_Error
Pennsylvania,2.0,4.2,2.2,1.0,2.5,1.5,10.5,10.3,-0.2,3.7,5.4,1.7,2.1,-0.7,-2.8,4.2,1.2,-3.0,0.0,-1.9,-1.9
Michigan,4.0,5.2,1.2,2.0,3.4,1.4,16.0,16.4,0.4,2.6,9.5,6.9,3.6,-0.2,-3.8,6.5,2.8,-3.7,1.1,-1.4,-2.5
Wisconsin,1.0,0.2,-0.8,1.0,0.4,-0.6,11.0,13.9,2.9,1.5,6.9,5.4,6.5,-0.7,-7.2,6.0,0.6,-5.4,1.4,-0.6,-2.0
Florida,-2.0,0.0,2.0,-3.0,-5.0,-2.0,2.0,2.8,0.8,-0.6,0.9,1.5,-0.2,-1.2,-1.0,0.5,-3.3,-3.8,-5.0,-13.1,-8.1
Ohio,-3.0,-3.6,-0.6,-2.0,-2.1,-0.1,6.0,4.6,-1.4,2.8,3.0,0.2,-2.2,-8.1,-5.9,-1.0,-8.1,-7.1,-8.0,-11.4,-3.4
North Carolina,,,,,,,0.0,0.3,0.3,-2.8,-2.0,0.8,-0.8,-3.6,-2.8,0.3,-1.5,-1.8,-0.7,-3.4,-2.7
Arizona,,,,,,,,,,,,,-3.0,-3.6,-0.6,0.9,0.3,-0.6,-1.0,-5.5,-4.5
Nevada,-4.0,-3.5,0.5,-3.0,-2.6,0.4,7.0,12.5,5.5,3.7,6.7,3.0,0.8,2.4,1.6,2.4,2.4,0.0,0.6,-3.6,-4.2
Georgia,,,,,,,,,,,,,-4.8,-5.1,-0.3,-1.0,0.2,1.2,0.1,-2.7,-2.8
Iowa,0.0,0.3,0.3,-1.0,-0.7,0.3,9.5,9.5,0.0,2.5,5.7,3.2,-3.0,-9.4,-6.4,-2.9,-8.2,-5.3,-4.0,-12.8,-8.8
Virginia,,,,,,,7.0,6.3,-0.7,2.0,3.9,1.9,5.3,5.3,0.0,11.0,10.1,-0.9,7.0,5.6,-1.4
Colorado,,,,-4.0,-4.7,-0.7,7.5,9.3,1.8,0.2,5.4,5.2,3.9,4.9,1.0,11.0,13.5,2.5,9.0,10.8,1.8
New Hampshire,-2.0,-1.3,0.7,0.0,1.3,1.3,9.0,9.6,0.6,2.0,5.6,3.6,1.0,0.4,-0.6,9.0,7.3,-1.7,5.0,6.1,1.1
Minnesota,5.0,2.4,-2.6,2.0,3.5,1.5,,,,,,,3.7,1.5,-2.2,6.7,7.1,0.4,5.0,5.4,0.4
